rank,title,year,citations,authors,venue,doi,domains,source_api,link,score
1,Array programming with NumPy,2020,23379,Charles R. Harris; K. Jarrod Millman; Stéfan J. van der Walt; Ralf Gommers; Pauli Virtanen; David Cournapeau; Eric Wieser; Julian Taylor; Sebastian Berg; Nathaniel J. Smith; Robert Kern; Matti Picus,Nature,10.1038/s41586-020-2649-2,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming|or_foundations_survey,crossref,https://doi.org/10.1038/s41586-020-2649-2,9.805
2,The Whale Optimization Algorithm,2016,13506,Seyedali Mirjalili; Andrew Lewis,Advances in Engineering Software,10.1016/j.advengsoft.2016.01.008,combinatorial_optimization|network_flows|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|graph_or|cutting_packing|ml_or_hybrid,crossref,https://doi.org/10.1016/j.advengsoft.2016.01.008,9.327
3,"AutoDock Vina: Improving the speed and accuracy of docking with a new scoring function, efficient optimization, and multithreading",2010,33728,Oleg Trott; Arthur J. Olson,Journal of Computational Chemistry,10.1002/jcc.21334,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1002/jcc.21334,9.217
4,Harris hawks optimization: Algorithm and applications,2019,5983,Ali Asghar Heidari; Seyedali Mirjalili; Hossam Faris; Ibrahim Aljarah; Majdi Mafarja; Huiling Chen,Future Generation Computer Systems,10.1016/j.future.2019.02.028,combinatorial_optimization|network_flows|scheduling|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|column_generation_decomp|graph_or|cutting_packing|ml_or_hybrid,crossref,https://doi.org/10.1016/j.future.2019.02.028,9.200
5,CasADi: a software framework for nonlinear optimization and optimal control,2019,3458,Joel A. E. Andersson; Joris Gillis; Greg Horn; James B. Rawlings; Moritz Diehl,Mathematical Programming Computation,10.1007/s12532-018-0139-4,linear_programming|integer_programming|combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|constraint_programming|ml_or_hybrid|or_foundations_survey,crossref,https://doi.org/10.1007/s12532-018-0139-4,9.106
6,Distributed Optimization and Statistical Learning via the Alternating Direction Method of Multipliers,2011,14599,Stephen Boyd; Neal Parikh; Eric Chu; Borja Peleato; Jonathan Eckstein,Foundations and Trends® in Machine Learning,10.1561/2200000016,linear_programming|combinatorial_optimization|scheduling|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1561/2200000016,8.854
7,Slime mould algorithm: A new method for stochastic optimization,2020,2896,Shimin Li; Huiling Chen; Mingjing Wang; Ali Asghar Heidari; Seyedali Mirjalili,Future Generation Computer Systems,10.1016/j.future.2020.03.055,linear_programming|combinatorial_optimization|network_flows|scheduling|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|column_generation_decomp|graph_or|cutting_packing|ml_or_hybrid,crossref,https://doi.org/10.1016/j.future.2020.03.055,8.808
8,"An Evolutionary Many-Objective Optimization Algorithm Using Reference-Point-Based Nondominated Sorting Approach, Part I: Solving Problems With Box Constraints",2014,6432,Kalyanmoy Deb; Himanshu Jain,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2013.2281535,linear_programming|combinatorial_optimization|network_flows|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|constraint_programming|graph_or|cutting_packing|ml_or_hybrid,crossref,https://doi.org/10.1109/tevc.2013.2281535,8.750
9,Differential Evolution – A Simple and Efficient Heuristic for global Optimization over Continuous Spaces,1997,24700,Rainer Storn; Kenneth Price,Journal of Global Optimization,10.1023/a:1008202821328,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1023/a:1008202821328,8.747
10,A novel swarm intelligence optimization approach: sparrow search algorithm,2020,3630,Jiankai Xue; Bo Shen,Systems Science &amp; Control Engineering,10.1080/21642583.2019.1708830,combinatorial_optimization|network_flows|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|graph_or|cutting_packing|ml_or_hybrid,crossref,https://doi.org/10.1080/21642583.2019.1708830,8.702
